# -------------------------------------------------------,,,,,,,,,,,
# ---- CSV created by:  mightymerge.io                   ,,,,,,,,,,,
# -------------------------------------------------------,,,,,,,,,,,
,,,,,,,,,,,
id,course,topic,level,question,option1,option2,option3,option4,answer_index,,
DBMS_Question_Bank_Full_80_66,,DBMS_Question_Bank_Full_80,1, What is a tuple in DBMS?,Row,Column,Table,Key,0,,
DBMS_Question_Bank_Full_80_67,,DBMS_Question_Bank_Full_80,1,A collection of related records is known as?,Table,Database,Field,Schema,0,,
DBMS_Question_Bank_Full_80_68,,DBMS_Question_Bank_Full_80,1, Which of the following is not a type of database?,Hierarchical,Network,Distributed,Linear,3,,
DBMS_Question_Bank_Full_80_69,,DBMS_Question_Bank_Full_80,1,What does SQL stand for?,Structured Query Language,Simple Query Language,Sequential Query Language,Standard Query Language,0,,
DBMS_Question_Bank_Full_80_70,,DBMS_Question_Bank_Full_80,1, Which command is used to retrieve data?,SELECT,UPDATE,INSERT,DELETE,0,,
DBMS_Question_Bank_Full_80_71,,DBMS_Question_Bank_Full_80,1, Which SQL clause filters records?,SELECT,WHERE,FROM,GROUP BY,1,,
DBMS_Question_Bank_Full_80_72,,DBMS_Question_Bank_Full_80,1, Which command sorts results?,ORDER BY,SORT BY,GROUP BY,ASCENDING,0,,
DBMS_Question_Bank_Full_80_73,,DBMS_Question_Bank_Full_80,1, What does the DISTINCT keyword do?,Deletes duplicates,Filters NULL values,Sorts records,Updates values,0,,
DBMS_Question_Bank_Full_80_74,,DBMS_Question_Bank_Full_80,1,What is the default sorting order of ORDER BY?,Descending,Random,Ascending,No order,2,,
DBMS_Question_Bank_Full_80_75,,DBMS_Question_Bank_Full_80,1, Which SQL keyword is used to combine results from two queries?,UNION,JOIN,CONNECT,MERGE,0,,
DBMS_Question_Bank_Full_80_76,,DBMS_Question_Bank_Full_80,1, Which of the following is a DDL command?,SELECT,CREATE,UPDATE,DELETE,1,,
DBMS_Question_Bank_Full_80_77,,DBMS_Question_Bank_Full_80,1,Which of these is used to remove a table?,DELETE TABLE,DROP TABLE,REMOVE TABLE,CLEAR TABLE,1,,
DBMS_Question_Bank_Full_80_78,,DBMS_Question_Bank_Full_80,1,Which of the following constraints ensures data uniqueness?,DEFAULT,UNIQUE,CHECK,FOREIGN,1,,
DBMS_Question_Bank_Full_80_79,,DBMS_Question_Bank_Full_80,1, Which operator is used for pattern matching?,LIKE,MATCH,PATTERN,COMPARE,0,,
DBMS_Question_Bank_Full_80_80,,DBMS_Question_Bank_Full_80,1,Which of the following creates an alias?,RENAME,AS,NEW,NAME,1,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
